A!NET_NAME!NET_LOGICAL_PATH!NET_CDS_FSP_UID!NET_SHIELD_NET!NET_RELATIVE_PROPAGATION_DELAY!NET_NO_PIN_ESCAPE!NET_VOLTAGE_LAYER!NET_VOLTAGE!NET_RATSNEST_SCHEDULE!NET_CLOCK_NET!NET_ASSIGN_TOPOLOGY!NET_NET_PHYSICAL_TYPE!NET_MAX_FINAL_SETTLE!NET_NO_TEST!NET_MAX_EXPOSED_LENGTH!NET_ELECTRICAL_CONSTRAINT_SET!NET_CDS_FSP_BUS_INDEX!NET_STUB_LENGTH!NET_SHIELD_TYPE!NET_NO_RAT!NET_PROPAGATION_DELAY!NET_NO_RIPUP!NET_MIN_HOLD!NET_DIFFERENTIAL_PAIR!NET_MIN_SETUP!NET_MIN_NECK_WIDTH!NET_BUS_NAME!NET_MIN_NOISE_MARGIN!NET_MATCHED_DELAY!NET_ECL!NET_DIFFP_LENGTH_TOL!NET_DIFFP_2ND_LENGTH!NET_SUBNET_NAME!NET_MIN_BOND_LENGTH!NET_MAX_OVERSHOOT!NET_TS_ALLOWED!NET_MAX_VIA_COUNT!NET_EMC_CRITICAL_NET!NET_CDS_FSP_NET!NET_PROBE_NUMBER!NET_NO_ROUTE!NET_MIN_LINE_WIDTH!NET_ECL_TEMP!NET_NO_GLOSS!NET_ROUTE_PRIORITY!NET_NET_SPACING_TYPE!NET_IMPEDANCE_RULE!
J!C:/Users/markl/Documents/Sem7/SmartSystems/PinToWin/schematics/sensor_matrix/allegro/sensor_board_routing.brd!Wed Sep 29 10:55:27 2021!-148.5000!-105.0000!271.5000!192.0000!0.0001!millimeters!SENSOR_BOARD!10.400000 mil!2!OUT OF DATE!
S!N26283!@sensor_board.schematic1(sch_1):n26283!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!0.8 MM!!!!!!
S!5V!@sensor_board.schematic1(sch_1):\5v\!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!0.8 MM!!!!!!
S!VCC!@sensor_board.schematic1(sch_1):vcc!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!0.8 MM!!!!!!
S!3V3!@sensor_board.schematic1(sch_1):\3v3\!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!0.8 MM!!!!!!
S!N18612!@sensor_board.schematic1(sch_1):n18612!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!0.8 MM!!!!!!
S!N18545!@sensor_board.schematic1(sch_1):n18545!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!0.8 MM!!!!!!
S!NCS!@sensor_board.schematic1(sch_1):ncs!!!!!!!!!!!!!!!!!!!!!!!!0.25 MM!!!!!!!!!!!!!!!!0.25 MM!!!!!!
S!N00105_M_COL20_R-D7!@sensor_board.schematic1(sch_1):\n00105_m_col20_r-d7\!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!0.25 MM!!!!!!
S!N00105_M_COL1_R-D7!@sensor_board.schematic1(sch_1):\n00105_m_col1_r-d7\!!!!!!!!!!!!!!!!!!!!!!!!0.25 MM!!!!!!!!!!!!!!!!0.25 MM!!!!!!
S!N00105_M_COL19_R-D7!@sensor_board.schematic1(sch_1):\n00105_m_col19_r-d7\!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!0.25 MM!!!!!!
S!N00105_M_COL18_R-D7!@sensor_board.schematic1(sch_1):\n00105_m_col18_r-d7\!!!!!!!!!!!!!!!!!!!!!!!!0.25 MM!!!!!!!!!!!!!!!!0.25 MM!!!!!!
S!N00105_M_COL13_R-D7!@sensor_board.schematic1(sch_1):\n00105_m_col13_r-d7\!!!!!!!!!!!!!!!!!!!!!!!!0.25 MM!!!!!!!!!!!!!!!!0.25 MM!!!!!!
S!N00105_M_COL20_R-D2!@sensor_board.schematic1(sch_1):\n00105_m_col20_r-d2\!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!0.25 MM!!!!!!
S!N00105_M_COL_R-D3!@sensor_board.schematic1(sch_1):\n00105_m_col_r-d3\!!!!!!!!!!!!!!!!!!!!!!!!0.25 MM!!!!!!!!!!!!!!!!0.25 MM!!!!!!
S!N00105_M_COL13_R-D3!@sensor_board.schematic1(sch_1):\n00105_m_col13_r-d3\!!!!!!!!!!!!!!!!!!!!!!!!0.25 MM!!!!!!!!!!!!!!!!0.25 MM!!!!!!
S!N00105_M_COL15_R-D3!@sensor_board.schematic1(sch_1):\n00105_m_col15_r-d3\!!!!!!!!!!!!!!!!!!!!!!!!0.25 MM!!!!!!!!!!!!!!!!0.25 MM!!!!!!
S!N00105_M_COL17_R-D3!@sensor_board.schematic1(sch_1):\n00105_m_col17_r-d3\!!!!!!!!!!!!!!!!!!!!!!!!0.25 MM!!!!!!!!!!!!!!!!0.25 MM!!!!!!
S!N00105_M_COL12_R-D!@sensor_board.schematic1(sch_1):\n00105_m_col12_r-d\!!!!!!!!!!!!!!!!!!!!!!!!0.25 MM!!!!!!!!!!!!!!!!0.25 MM!!!!!!
